order_id,order_date,ship_date,ship_mode,customer_id,location_id
CA-2024-100119,2024-06-28,2024-07-03,Standard Class,CG-10032,4
CA-2024-100120,2024-01-04,2024-01-08,Second Class,CG-10014,5
CA-2022-100121,2022-09-26,2022-09-30,First Class,CG-10005,5
CA-2021-100122,2021-07-09,2021-07-13,Same Day,CG-10045,4
CA-2024-100123,2024-08-19,2024-08-24,Standard Class,CG-10027,2
CA-2023-100124,2023-03-25,2023-03-28,First Class,CG-10053,7
CA-2021-100125,2021-12-21,2021-12-26,Second Class,CG-10016,7
CA-2021-100126,2021-11-13,2021-11-14,Second Class,CG-10040,3
CA-2024-100127,2024-08-10,2024-08-11,Second Class,CG-10009,5
CA-2023-100128,2023-07-26,2023-07-30,Standard Class,CG-10047,7
CA-2023-100129,2023-01-09,2023-01-14,Second Class,CG-10022,4
CA-2022-100130,2022-01-27,2022-01-30,Standard Class,CG-10026,8
CA-2022-100131,2022-09-15,2022-09-16,First Class,CG-10007,3
CA-2023-100132,2023-12-01,2023-12-04,First Class,CG-10019,2
CA-2024-100133,2024-06-12,2024-06-14,Second Class,CG-10051,3
CA-2024-100134,2024-04-22,2024-04-28,Same Day,CG-10053,2
CA-2021-100135,2021-03-08,2021-03-11,Same Day,CG-10056,8
CA-2023-100136,2023-10-07,2023-10-09,Same Day,CG-10043,7
CA-2022-100137,2022-02-24,2022-02-25,Second Class,CG-10045,1
CA-2024-100138,2024-10-08,2024-10-09,First Class,CG-10003,3
CA-2022-100139,2022-01-12,2022-01-13,Same Day,CG-10007,2
CA-2023-100140,2023-07-21,2023-07-24,First Class,CG-10036,8
CA-2022-100141,2022-05-21,2022-05-24,First Class,CG-10039,2
CA-2023-100142,2023-07-05,2023-07-08,First Class,CG-10032,4
CA-2024-100143,2024-02-12,2024-02-18,Second Class,CG-10041,1
CA-2024-100144,2024-04-15,2024-04-18,Standard Class,CG-10022,3
CA-2023-100145,2023-11-25,2023-11-26,First Class,CG-10029,1
CA-2021-100146,2021-12-05,2021-12-11,Same Day,CG-10025,5
CA-2024-100147,2024-05-23,2024-05-25,First Class,CG-10012,1
CA-2023-100148,2023-03-27,2023-03-31,Standard Class,CG-10018,1
CA-2023-100149,2023-10-07,2023-10-11,Second Class,CG-10027,8
CA-2024-100150,2024-03-29,2024-04-02,Same Day,CG-10022,6
CA-2021-100151,2021-12-09,2021-12-13,Same Day,CG-10022,1
CA-2021-100152,2021-08-17,2021-08-22,Second Class,CG-10044,7
CA-2023-100153,2023-11-28,2023-12-01,Second Class,CG-10007,7
CA-2024-100154,2024-07-26,2024-07-30,First Class,CG-10017,1
CA-2022-100155,2022-02-28,2022-03-06,Same Day,CG-10027,1
CA-2022-100156,2022-04-10,2022-04-13,Standard Class,CG-10035,4
CA-2023-100157,2023-06-10,2023-06-16,Second Class,CG-10023,4
CA-2022-100158,2022-10-19,2022-10-25,Second Class,CG-10017,1
CA-2024-100159,2024-04-06,2024-04-12,Standard Class,CG-10020,5
CA-2024-100160,2024-08-25,2024-08-30,Same Day,CG-10042,7
CA-2023-100161,2023-03-19,2023-03-25,Standard Class,CG-10015,6
CA-2024-100162,2024-10-07,2024-10-08,Standard Class,CG-10030,8
CA-2021-100163,2021-11-29,2021-12-02,Second Class,CG-10033,3
CA-2023-100164,2023-01-05,2023-01-09,Standard Class,CG-10045,3
CA-2021-100165,2021-03-22,2021-03-26,Same Day,CG-10001,7
CA-2024-100166,2024-08-11,2024-08-12,First Class,CG-10044,2
CA-2023-100167,2023-05-12,2023-05-13,First Class,CG-10017,3
CA-2021-100168,2021-05-29,2021-05-31,First Class,CG-10024,2
CA-2024-100169,2024-01-21,2024-01-26,First Class,CG-10016,7
CA-2024-100170,2024-04-18,2024-04-22,First Class,CG-10029,3
CA-2024-100171,2024-08-15,2024-08-19,Same Day,CG-10001,7
CA-2023-100172,2023-06-10,2023-06-16,Second Class,CG-10050,8
CA-2023-100173,2023-12-06,2023-12-08,Standard Class,CG-10017,7
CA-2021-100174,2021-10-17,2021-10-20,First Class,CG-10017,5
CA-2023-100175,2023-12-24,2023-12-27,Standard Class,CG-10007,3
CA-2024-100176,2024-04-29,2024-05-04,Standard Class,CG-10040,7
CA-2022-100177,2022-07-08,2022-07-13,Same Day,CG-10008,7
CA-2024-100178,2024-06-20,2024-06-25,Standard Class,CG-10009,3
CA-2021-100179,2021-02-20,2021-02-23,Second Class,CG-10048,2
CA-2024-100180,2024-08-04,2024-08-09,Standard Class,CG-10012,6
CA-2023-100181,2023-05-25,2023-05-31,Second Class,CG-10041,5
CA-2022-100182,2022-12-19,2022-12-20,Standard Class,CG-10029,3
CA-2021-100183,2021-07-21,2021-07-26,Same Day,CG-10053,2
CA-2022-100184,2022-06-29,2022-06-30,Same Day,CG-10020,4
CA-2022-100185,2022-02-04,2022-02-07,Second Class,CG-10029,2
CA-2021-100186,2021-03-07,2021-03-11,Same Day,CG-10013,6
CA-2021-100187,2021-10-19,2021-10-21,First Class,CG-10008,3
CA-2024-100188,2024-04-09,2024-04-15,First Class,CG-10052,7
CA-2022-100189,2022-04-23,2022-04-28,First Class,CG-10026,3
CA-2021-100190,2021-02-06,2021-02-09,Same Day,CG-10043,1
CA-2024-100191,2024-09-02,2024-09-07,Second Class,CG-10042,6
CA-2023-100192,2023-07-01,2023-07-07,Same Day,CG-10044,5
CA-2023-100193,2023-01-30,2023-02-05,Same Day,CG-10028,7
CA-2024-100194,2024-04-04,2024-04-09,Same Day,CG-10038,8
CA-2022-100195,2022-02-27,2022-03-03,Standard Class,CG-10030,4
CA-2022-100196,2022-05-08,2022-05-12,First Class,CG-10005,4
CA-2023-100197,2023-01-24,2023-01-29,Standard Class,CG-10002,8
CA-2023-100198,2023-03-02,2023-03-05,Second Class,CG-10034,7
CA-2023-100199,2023-08-21,2023-08-23,Same Day,CG-10024,6
CA-2021-100200,2021-03-02,2021-03-08,Standard Class,CG-10053,3
CA-2021-100201,2021-08-20,2021-08-23,Standard Class,CG-10010,4
CA-2024-100202,2024-10-14,2024-10-15,Standard Class,CG-10042,2
CA-2022-100203,2022-04-27,2022-05-01,First Class,CG-10024,8
CA-2022-100204,2022-07-04,2022-07-06,Standard Class,CG-10019,4
CA-2021-100205,2021-06-13,2021-06-16,Standard Class,CG-10054,5
CA-2022-100206,2022-05-02,2022-05-07,Same Day,CG-10012,4
CA-2021-100207,2021-07-25,2021-07-28,Second Class,CG-10043,6
CA-2022-100208,2022-07-03,2022-07-06,First Class,CG-10025,2
CA-2022-100209,2022-09-17,2022-09-20,Second Class,CG-10015,5
CA-2024-100210,2024-01-22,2024-01-27,Same Day,CG-10005,8
CA-2024-100211,2024-06-09,2024-06-13,Second Class,CG-10057,7
CA-2023-100212,2023-11-10,2023-11-15,Standard Class,CG-10003,3
CA-2022-100213,2022-07-09,2022-07-15,Same Day,CG-10044,7
CA-2024-100214,2024-05-19,2024-05-24,First Class,CG-10033,7
CA-2023-100215,2023-04-03,2023-04-06,Second Class,CG-10021,2
CA-2022-100216,2022-12-15,2022-12-16,Same Day,CG-10036,7
CA-2021-100217,2021-11-17,2021-11-22,Second Class,CG-10038,6
CA-2024-100218,2024-02-09,2024-02-10,Second Class,CG-10006,3
CA-2022-100219,2022-03-08,2022-03-09,Standard Class,CG-10015,1
CA-2023-100220,2023-11-21,2023-11-27,Standard Class,CG-10025,2
CA-2024-100221,2024-09-17,2024-09-20,First Class,CG-10016,2
CA-2023-100222,2023-10-07,2023-10-11,Second Class,CG-10002,7
CA-2024-100223,2024-04-07,2024-04-09,Second Class,CG-10013,2
CA-2022-100224,2022-08-27,2022-09-02,First Class,CG-10042,7
CA-2022-100225,2022-02-07,2022-02-09,Standard Class,CG-10034,1
CA-2024-100226,2024-09-07,2024-09-13,Standard Class,CG-10030,3
CA-2024-100227,2024-04-01,2024-04-05,Same Day,CG-10037,5
CA-2023-100228,2023-08-21,2023-08-23,First Class,CG-10034,7
CA-2021-100229,2021-07-26,2021-07-27,First Class,CG-10035,3
CA-2023-100230,2023-03-26,2023-04-01,First Class,CG-10053,3
CA-2022-100231,2022-11-01,2022-11-02,Standard Class,CG-10022,7
CA-2021-100232,2021-10-03,2021-10-04,Standard Class,CG-10050,5
CA-2022-100233,2022-11-23,2022-11-26,Second Class,CG-10048,2
CA-2022-100234,2022-12-08,2022-12-11,Second Class,CG-10026,4
CA-2022-100235,2022-06-27,2022-07-02,First Class,CG-10020,4
CA-2024-100236,2024-01-30,2024-01-31,Second Class,CG-10048,5
CA-2023-100237,2023-05-13,2023-05-19,Second Class,CG-10000,5
CA-2023-100238,2023-12-08,2023-12-11,First Class,CG-10020,3
CA-2022-100239,2022-02-01,2022-02-02,Same Day,CG-10054,6
CA-2024-100240,2024-04-02,2024-04-08,Second Class,CG-10005,3
CA-2023-100241,2023-07-18,2023-07-19,First Class,CG-10025,1
CA-2023-100242,2023-09-16,2023-09-17,Second Class,CG-10000,5
CA-2021-100243,2021-07-10,2021-07-12,Standard Class,CG-10016,8
CA-2024-100244,2024-10-20,2024-10-25,Same Day,CG-10044,4
CA-2022-100245,2022-07-20,2022-07-24,Same Day,CG-10054,5
CA-2024-100246,2024-05-29,2024-06-02,Second Class,CG-10032,1
CA-2022-100247,2022-08-04,2022-08-10,Second Class,CG-10007,7
CA-2021-100248,2021-01-25,2021-01-29,Standard Class,CG-10051,5
CA-2023-100249,2023-09-16,2023-09-22,First Class,CG-10021,1
CA-2023-100250,2023-04-10,2023-04-12,First Class,CG-10018,7
CA-2022-100251,2022-06-03,2022-06-08,Second Class,CG-10035,7
CA-2021-100252,2021-05-15,2021-05-20,Second Class,CG-10001,6
CA-2021-100253,2021-02-03,2021-02-05,Same Day,CG-10026,2
CA-2021-100254,2021-05-03,2021-05-07,Standard Class,CG-10044,8
CA-2023-100255,2023-10-30,2023-11-04,Same Day,CG-10024,4
CA-2024-100256,2024-05-31,2024-06-05,Second Class,CG-10036,5
CA-2021-100257,2021-03-26,2021-03-28,Standard Class,CG-10037,7
CA-2024-100258,2024-05-15,2024-05-17,Same Day,CG-10001,4
CA-2022-100259,2022-04-12,2022-04-13,Standard Class,CG-10019,6
CA-2021-100260,2021-05-06,2021-05-10,First Class,CG-10002,7
CA-2021-100261,2021-01-22,2021-01-24,Same Day,CG-10027,7
CA-2022-100262,2022-06-20,2022-06-25,Second Class,CG-10006,8
CA-2021-100263,2021-10-30,2021-11-04,Standard Class,CG-10026,1
CA-2023-100264,2023-04-12,2023-04-17,Same Day,CG-10055,7
CA-2022-100265,2022-09-03,2022-09-08,Same Day,CG-10053,8
CA-2024-100266,2024-05-10,2024-05-16,Standard Class,CG-10055,3
CA-2021-100267,2021-10-03,2021-10-09,Same Day,CG-10052,6
CA-2023-100268,2023-09-12,2023-09-17,Standard Class,CG-10059,4
CA-2022-100269,2022-10-16,2022-10-18,Standard Class,CG-10053,2
CA-2021-100270,2021-08-24,2021-08-25,Second Class,CG-10011,1
CA-2022-100271,2022-08-02,2022-08-04,First Class,CG-10028,8
CA-2023-100272,2023-07-24,2023-07-30,First Class,CG-10015,6
CA-2022-100273,2022-01-20,2022-01-25,Same Day,CG-10017,6
CA-2023-100274,2023-12-08,2023-12-13,First Class,CG-10023,2
CA-2024-100275,2024-03-18,2024-03-23,Second Class,CG-10026,8
CA-2022-100276,2022-07-28,2022-08-02,Standard Class,CG-10045,4
CA-2022-100277,2022-08-07,2022-08-13,Same Day,CG-10011,4
CA-2023-100278,2023-10-05,2023-10-07,Second Class,CG-10034,1
CA-2022-100279,2022-11-04,2022-11-08,Standard Class,CG-10038,5
CA-2022-100280,2022-07-29,2022-07-31,Same Day,CG-10005,3
CA-2024-100281,2024-02-12,2024-02-18,Second Class,CG-10036,6
CA-2023-100282,2023-12-04,2023-12-10,Second Class,CG-10047,3
CA-2024-100283,2024-03-27,2024-04-02,First Class,CG-10048,6
CA-2024-100284,2024-01-13,2024-01-18,Second Class,CG-10007,6
CA-2023-100285,2023-02-27,2023-03-04,Same Day,CG-10047,5
CA-2023-100286,2023-07-04,2023-07-06,Same Day,CG-10015,4
CA-2024-100287,2024-03-02,2024-03-06,Second Class,CG-10011,3
CA-2024-100288,2024-02-19,2024-02-22,First Class,CG-10025,5
CA-2024-100289,2024-04-09,2024-04-14,Second Class,CG-10020,5
CA-2022-100290,2022-02-02,2022-02-03,First Class,CG-10038,1
CA-2022-100291,2022-02-03,2022-02-07,Standard Class,CG-10045,6
CA-2024-100292,2024-04-03,2024-04-07,Second Class,CG-10053,3
CA-2023-100293,2023-07-18,2023-07-24,First Class,CG-10019,4
CA-2024-100294,2024-08-26,2024-08-29,Same Day,CG-10029,6
CA-2023-100295,2023-07-27,2023-07-30,First Class,CG-10001,2
CA-2021-100296,2021-03-21,2021-03-27,Standard Class,CG-10019,5
CA-2021-100297,2021-12-26,2021-12-29,Standard Class,CG-10004,4
CA-2022-100298,2022-03-13,2022-03-14,First Class,CG-10001,6
CA-2021-100299,2021-02-03,2021-02-07,Standard Class,CG-10022,8
CA-2023-100300,2023-07-30,2023-08-01,First Class,CG-10047,2
CA-2022-100301,2022-10-31,2022-11-03,Standard Class,CG-10019,1
CA-2023-100302,2023-11-26,2023-11-29,Standard Class,CG-10010,2
CA-2023-100303,2023-08-11,2023-08-12,Standard Class,CG-10026,4
CA-2023-100304,2023-01-21,2023-01-24,Same Day,CG-10053,8
CA-2021-100305,2021-04-05,2021-04-11,Standard Class,CG-10035,3
CA-2023-100306,2023-03-10,2023-03-12,First Class,CG-10038,6
CA-2023-100307,2023-09-09,2023-09-14,Second Class,CG-10006,4
CA-2021-100308,2021-08-01,2021-08-03,Second Class,CG-10009,5
CA-2021-100309,2021-12-26,2022-01-01,Same Day,CG-10016,1
CA-2023-100310,2023-09-17,2023-09-18,First Class,CG-10005,6
CA-2021-100311,2021-03-01,2021-03-02,Second Class,CG-10037,3
CA-2023-100312,2023-05-22,2023-05-24,First Class,CG-10005,3
CA-2022-100313,2022-07-26,2022-07-30,Second Class,CG-10053,2
CA-2022-100314,2022-04-08,2022-04-09,First Class,CG-10006,8
CA-2024-100315,2024-01-02,2024-01-04,Same Day,CG-10044,6
CA-2024-100316,2024-07-21,2024-07-24,Same Day,CG-10006,4
CA-2022-100317,2022-04-22,2022-04-23,Second Class,CG-10018,2
CA-2022-100318,2022-09-02,2022-09-06,Same Day,CG-10059,6
CA-2023-100319,2023-03-08,2023-03-09,First Class,CG-10006,4
CA-2022-100320,2022-02-08,2022-02-10,Same Day,CG-10021,8
CA-2021-100321,2021-11-19,2021-11-22,Standard Class,CG-10026,2
CA-2021-100322,2021-01-27,2021-01-28,Second Class,CG-10032,1
CA-2024-100323,2024-03-12,2024-03-13,Standard Class,CG-10008,7
CA-2024-100324,2024-01-24,2024-01-26,First Class,CG-10006,7
CA-2022-100325,2022-10-18,2022-10-22,Same Day,CG-10024,4
CA-2024-100326,2024-03-19,2024-03-23,First Class,CG-10059,5
CA-2024-100327,2024-10-07,2024-10-08,First Class,CG-10042,6
CA-2022-100328,2022-05-27,2022-05-29,Standard Class,CG-10044,4
CA-2023-100329,2023-08-03,2023-08-08,Standard Class,CG-10034,1
CA-2023-100330,2023-02-17,2023-02-23,First Class,CG-10026,1
CA-2024-100331,2024-06-24,2024-06-27,Second Class,CG-10023,8
CA-2021-100332,2021-03-29,2021-04-04,Same Day,CG-10031,4
CA-2022-100333,2022-02-14,2022-02-19,Same Day,CG-10046,5
CA-2023-100334,2023-01-11,2023-01-13,Same Day,CG-10019,3
CA-2023-100335,2023-07-20,2023-07-21,Second Class,CG-10027,6
CA-2024-100336,2024-01-14,2024-01-17,Standard Class,CG-10005,3
CA-2022-100337,2022-02-17,2022-02-21,Same Day,CG-10042,6
CA-2023-100338,2023-10-26,2023-10-30,Same Day,CG-10022,2
CA-2024-100339,2024-01-15,2024-01-19,Same Day,CG-10037,2
CA-2021-100340,2021-05-17,2021-05-21,Same Day,CG-10046,7
CA-2022-100341,2022-09-23,2022-09-24,Standard Class,CG-10008,8
CA-2022-100342,2022-10-28,2022-10-31,Second Class,CG-10031,8
CA-2024-100343,2024-08-06,2024-08-09,First Class,CG-10033,8
CA-2022-100344,2022-07-20,2022-07-26,Second Class,CG-10058,6
CA-2021-100345,2021-12-30,2022-01-05,Same Day,CG-10028,3
CA-2024-100346,2024-06-20,2024-06-22,Standard Class,CG-10042,5
CA-2023-100347,2023-02-27,2023-03-02,Second Class,CG-10047,1
CA-2022-100348,2022-11-19,2022-11-25,Standard Class,CG-10057,5
CA-2021-100349,2021-04-17,2021-04-20,Second Class,CG-10012,7
CA-2023-100350,2023-09-16,2023-09-19,Same Day,CG-10042,6
CA-2022-100351,2022-08-19,2022-08-20,Standard Class,CG-10022,1
CA-2024-100352,2024-06-13,2024-06-18,Standard Class,CG-10014,4
CA-2022-100353,2022-10-01,2022-10-05,Same Day,CG-10059,2
CA-2023-100354,2023-05-25,2023-05-30,Standard Class,CG-10013,5
CA-2021-100355,2021-05-05,2021-05-07,First Class,CG-10052,2
CA-2021-100356,2021-08-02,2021-08-03,Same Day,CG-10036,4
CA-2024-100357,2024-05-10,2024-05-15,Standard Class,CG-10045,5
CA-2024-100358,2024-06-26,2024-06-28,Same Day,CG-10053,1
CA-2024-100359,2024-08-30,2024-09-05,Standard Class,CG-10023,2
CA-2024-100360,2024-09-08,2024-09-10,Standard Class,CG-10043,3
CA-2023-100361,2023-10-19,2023-10-20,Second Class,CG-10009,8
CA-2022-100362,2022-07-11,2022-07-12,First Class,CG-10010,1
CA-2023-100363,2023-04-02,2023-04-03,Standard Class,CG-10017,8
CA-2024-100364,2024-05-08,2024-05-13,Second Class,CG-10042,4
CA-2024-100365,2024-02-23,2024-02-24,Same Day,CG-10034,4
CA-2022-100366,2022-09-05,2022-09-09,Standard Class,CG-10047,8
CA-2024-100367,2024-06-08,2024-06-09,First Class,CG-10028,1
CA-2023-100368,2023-01-10,2023-01-14,Same Day,CG-10048,8
CA-2024-100369,2024-05-05,2024-05-10,Second Class,CG-10025,4
CA-2024-100370,2024-09-04,2024-09-06,First Class,CG-10052,3
CA-2022-100371,2022-02-02,2022-02-05,Standard Class,CG-10043,8
CA-2024-100372,2024-06-30,2024-07-01,Second Class,CG-10058,1
CA-2021-100373,2021-03-17,2021-03-18,First Class,CG-10010,8
CA-2021-100374,2021-07-03,2021-07-06,Same Day,CG-10037,6
CA-2023-100375,2023-01-21,2023-01-25,First Class,CG-10032,2
CA-2022-100376,2022-09-01,2022-09-03,First Class,CG-10029,7
CA-2023-100377,2023-01-10,2023-01-14,Same Day,CG-10008,8
CA-2021-100378,2021-08-18,2021-08-19,Second Class,CG-10032,7
CA-2023-100379,2023-04-12,2023-04-18,Standard Class,CG-10050,2
CA-2021-100380,2021-03-03,2021-03-07,Same Day,CG-10040,2
CA-2023-100381,2023-09-12,2023-09-16,Standard Class,CG-10048,7
CA-2022-100382,2022-08-30,2022-09-02,First Class,CG-10018,7
CA-2022-100383,2022-11-11,2022-11-15,Second Class,CG-10038,2
CA-2021-100384,2021-03-06,2021-03-08,First Class,CG-10027,5
CA-2024-100385,2024-10-12,2024-10-13,First Class,CG-10023,7
CA-2021-100386,2021-08-21,2021-08-26,Same Day,CG-10032,4
